author,author_bio,author_gender,author_location,dailymotion_views,date,displayed_name,domain_url,engagement,external_author_id,external_id,external_provider,facebook_likes,facebook_shares,fluency_level,full_text,language,num_comments,num_followers,porn_level,post_type,reach,reply_to_author,reply_to_tweet_id,Sentiment,source_alexa_pageviews,source_alexa_unique_visitors,source_city,source_continent,source_country,source_country_code,source_name,source_region,source_type_detail,source_type_general,spam_level,tags_customer,tags_internal,title,trending_score,twitter_likes,twitter_shares,url,vkontakte_likes,vkontakte_shares,word_count,youtube_dislikes,youtube_likes,youtube_views,num_reposts,num_likes,official,outlier_author,outlier_text,sponsorship,HCP,topic,sentiment_positive,sentiment_negative,sentiment_neutral,key_content_text,sentiment
nadahamad,"BMT, cellular therapies and clinical haematologist, clinical researcher, lymphoma doc, mother of 3, feminist and ANZTCT president. Opinions are my own.",,"Sydney, Australia",,2020-12-07 22:50:37+00:00,A/Prof Nada Hamad,http://twitter.com/,20.0,,1.3360807037384172e+18,,0.0,0.0,,RT @BldCancerDoc: Our #CleClinicCancer @CleClinicMD hem-onc fellowship graduates are on 🔥🔥🔥 at #ASH20 - 👏👏👏 @sagarpatel on leading this @CI…,en,0.0,346.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,17.0,3.0,https://twitter.com/nadahamad/statuses/1336080703738417153,0.0,0.0,,0.0,0.0,0.0,3.0,17.0,False,False,False,False,True,Innovation,0.0,0.0,1.0,RT @BldCancerDoc: Our #CleClinicCancer @CleClinicMD hem-onc fellowship graduates are on 🔥🔥🔥 at #ASH20 - 👏👏👏 @sagarpatel on leading this @CI…,true
RitchaSaxena,"Hematopathologist, Professor | Insatiable reader & writer | Embracing and celebrating diversity, gratitude & compassion | Crazy about teaching, yoga & chocolate",,,,2020-12-06 12:33:37+00:00,"Ritcha Saxena, MD",http://twitter.com/,36.0,,1.3355630423404298e+18,,0.0,0.0,,RT @razan_mohty: Data from @LeukemiaMDA on VEN with Cladribine/LDAC alternating with azacitidine in newly diagnosed older #AML by Dr @TapKa…,en,0.0,6875.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,27.0,9.0,https://twitter.com/RitchaSaxena/statuses/1335563042340429824,0.0,0.0,,0.0,0.0,0.0,9.0,27.0,False,False,False,False,True,Diagnostic Tools,0.0,0.0,1.0,RT @razan_mohty: Data from @LeukemiaMDA on VEN with Cladribine/LDAC alternating with azacitidine in newly diagnosed older #AML by Dr @TapKa…,true
Lisa_Palacios,Program Manager for MD Anderson Leukemia @leukemiamda | #HoustonStrong,,"Houston, Texas",,2020-12-07 18:40:34+00:00,Lisa Palacios,http://twitter.com/,1.0,,1.3360177755344773e+18,,0.0,0.0,,"RT @hemedoc: #ASH20 #leusm Short (583): Overall CIR 8% if NGS MRD neg, 27% if only neg by MFC. No relapses in mini-hCVD cohort. When lookin…",en,0.0,657.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,1.0,https://twitter.com/Lisa_Palacios/statuses/1336017775534477315,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,False,False,False,False,True,Diagnosis Progression,0.0,0.0,1.0,"RT @hemedoc: #ASH20 #leusm Short (583): Overall CIR 8% if NGS MRD neg, 27% if only neg by MFC. No relapses in mini-hCVD cohort. When lookin…",true
RitchaSaxena,"Hematopathologist, Professor | Insatiable reader & writer | Embracing and celebrating diversity, gratitude & compassion | Crazy about teaching, yoga & chocolate",,,,2020-12-06 01:53:47+00:00,"Ritcha Saxena, MD",http://twitter.com/,24.0,,1.335402024343638e+18,,0.0,0.0,,RT @DanaFarberNews: #ASH20 News: Dana-Farber researchers find promise in adding novel oral drug venetoclax to standard treatments in high-r…,en,0.0,6875.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,19.0,5.0,https://twitter.com/RitchaSaxena/statuses/1335402024343638017,0.0,0.0,,0.0,0.0,0.0,5.0,19.0,False,False,False,False,True,Clinical Trials,0.0,0.0,1.0,RT @DanaFarberNews: #ASH20 News: Dana-Farber researchers find promise in adding novel oral drug venetoclax to standard treatments in high-r…,true
rajshekharucms,Hem/Onc Physician/Clinical Researcher @ColumbiaCancer #MultipleMyeloma & #Amyloidosis. Asst. Prof of Medicine @ColumbiaMed #ClinicalTrials and Outcomes Research,,"New York, NY",,2020-12-05 18:40:56+00:00,Raj Chakraborty,http://twitter.com/,2.0,,1.3352930909915832e+18,,0.0,0.0,,Low concordance between Bone Marrow MRD (10-5) and whole body DW-MRI in #Myeloma ➡️ demonstrates importance of inco… https://t.co/03jYbXVdjr,en,0.0,1148.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,2.0,https://twitter.com/rajshekharucms/statuses/1335293090991583232,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,False,False,False,False,True,Diagnostic Tools,0.0,0.0,1.0,Low concordance between Bone Marrow MRD (10-5) and whole body DW-MRI in #Myeloma ➡️ demonstrates importance of inco… https://t.co/03jYbXVdjr,false
hfrangoul,Pediatric Hematologist-Oncologist  |  Medical Director of Pediatric Transplant  |  Sarah Cannon Research Institute,,"Nashville, TN",,2020-12-06 03:08:28+00:00,Haydar Frangoul,http://twitter.com/,6.0,,1.3354208177069875e+18,,0.0,0.0,,RT @Physns1stWatch: News from #ASH2020: Dr. Haydar Frangoul talks about his team's work in developing a novel way to treat transfusion-depe…,en,0.0,32.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,4.0,2.0,https://twitter.com/hfrangoul/statuses/1335420817706987525,0.0,0.0,,0.0,0.0,0.0,2.0,4.0,False,False,False,False,True,Collaboration,0.0,0.0,1.0,RT @Physns1stWatch: News from #ASH2020: Dr. Haydar Frangoul talks about his team's work in developing a novel way to treat transfusion-depe…,true
AndreaAnampaG,"Medstudent @UNMSM_ with OCD • @ASCO & @AMWAdoctors Social Media
@CPsolvers Team Member • #Globaloncology #WomenInMedicine #MedEd #SurvOnc 🇵🇪 #IMG 🌈 she/ella",,"Lima, Peru",,2020-12-06 20:58:56+00:00,Andrea Anampa-Guzmán,http://twitter.com/,40.0,,1.3356902100934902e+18,,0.0,0.0,,RT @RahmaWarsameMD: Promising results from phase 1 VSV-IFNb-NIS in pts with relapsed refractory hem malignancies. Strongest signal in TCL.…,en,0.0,1908.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,30.0,10.0,https://twitter.com/AndreaAnampaG/statuses/1335690210093490176,0.0,0.0,,0.0,0.0,0.0,10.0,30.0,False,False,False,False,True,Clinical Trials,0.0,0.0,1.0,RT @RahmaWarsameMD: Promising results from phase 1 VSV-IFNb-NIS in pts with relapsed refractory hem malignancies. Strongest signal in TCL.…,true
graham74GC,Lymphoma specialist at Oxford Cancer and Haematology centre. Haematologist and clinical trialist. Chair of UK Hodgkin and T-cell study groups.,,Opinions are mine,,2020-12-06 17:00:36+00:00,Graham Collins,http://twitter.com/,31.0,,1.335630229163946e+18,,0.0,0.0,,RT @Mohty_EBMT: Amazing twitter community at #ASH20 @Mohty_EBMT https://t.co/9dsa2DZZHc,en,0.0,6091.0,,,0.0,,,Positive,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,25.0,6.0,https://twitter.com/graham74GC/statuses/1335630229163945987,0.0,0.0,,0.0,0.0,0.0,6.0,25.0,False,False,False,False,True,Disease Advocacy,1.0,0.0,0.0,RT @Mohty_EBMT: Amazing twitter community at #ASH20 @Mohty_EBMT https://t.co/9dsa2DZZHc,true
SarahCannonDocs,Fighting Cancer Together. Find out the latest news directly from Sarah Cannon physicians.,,"Nashville, TN",,2020-12-07 18:05:09+00:00,Sarah Cannon Docs,http://twitter.com/,9.0,,1.3360088650586112e+18,,0.0,0.0,,"RT @lymphomahub: CONGRESS | #ASH20 | Aravind Ramakrishnan, @SarahCannonDocs, presents the results from the phase I Alexander study evaluati…",en,0.0,2504.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,6.0,3.0,https://twitter.com/SarahCannonDocs/statuses/1336008865058611203,0.0,0.0,,0.0,0.0,0.0,3.0,6.0,False,False,False,False,True,Clinical Trials,0.0,0.0,1.0,"RT @lymphomahub: CONGRESS | #ASH20 | Aravind Ramakrishnan, @SarahCannonDocs, presents the results from the phase I Alexander study evaluati…",true
CaptainAV,"blood doctor #researcher finding new treatments for #SickleCell #Thalassemia #PKdeficiency #G6PD #PNH #aHUS #TMA #CDA #HS #HE/#HPP, also @MSF Tweets are my own",,,,2020-12-06 20:30:24+00:00,Kevin Kuo,http://twitter.com/,1.0,,1.335683030711722e+18,,0.0,0.0,,More #KT and validation studies to come! Please PM me or @stephanie_forte if you wish to #collaborate with us!… https://t.co/qXzhAJ0JHg,en,0.0,274.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,1.0,https://twitter.com/CaptainAV/statuses/1335683030711721984,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,False,False,False,False,True,Collaboration,0.0,0.0,1.0,More #KT and validation studies to come! Please PM me or @stephanie_forte if you wish to #collaborate with us!… https://t.co/qXzhAJ0JHg,true
rajshekharucms,Hem/Onc Physician/Clinical Researcher @ColumbiaCancer #MultipleMyeloma & #Amyloidosis. Asst. Prof of Medicine @ColumbiaMed #ClinicalTrials and Outcomes Research,,"New York, NY",,2020-12-07 23:51:57+00:00,Raj Chakraborty,http://twitter.com/,3.0,,1.3360961390037852e+18,,0.0,0.0,,RT @AuclairDan: Jason Valent at #ASH20 providing an update on ongoing Phase II trial of CAEL-101 in AL Amyloidosis #mmsm https://t.co/Hsb6n…,en,0.0,1148.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,2.0,1.0,https://twitter.com/rajshekharucms/statuses/1336096139003785220,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,False,False,False,False,True,Clinical Trials,0.0,0.0,1.0,RT @AuclairDan: Jason Valent at #ASH20 providing an update on ongoing Phase II trial of CAEL-101 in AL Amyloidosis #mmsm https://t.co/Hsb6n…,false
sghmd,hematologist and bleeding-heart optimist 🌄 | clinical/translational #GVHD physician scientist | powerlifter 🏋️‍♀️ | personal views |  physician ≠ provider,,location:  in my head,,2020-12-07 22:55:01+00:00,Shernan Holtan MD,http://twitter.com/,0.0,,1.3360818093277225e+18,,0.0,0.0,,“Improving Symptom Control for Children with Hematological Malignancies” by @drbobphillips is a major #ASH20 gem 💎!… https://t.co/q65jln6zv3,en,0.0,1463.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,0.0,https://twitter.com/sghmd/statuses/1336081809327722498,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,Diagnosis Progression,0.0,0.0,1.0,“Improving Symptom Control for Children with Hematological Malignancies” by @drbobphillips is a major #ASH20 gem 💎!… https://t.co/q65jln6zv3,true
RuthClifford5,"Consultant Haematologist, University Hospital Limerick, IRL. Special interests CLL, genomics, MPNs.",,,,2020-12-06 13:26:25+00:00,Ruth Clifford,http://twitter.com/,25.0,,1.3355763283981066e+18,,0.0,0.0,,"RT @crowley_maeve: Great session by ⁦@fniainle⁩,⁦@Erik_Klok_MD⁩ and ⁦@WeeShianChan⁩ regarding diagnostic and prognostic models in vte manag…",en,0.0,287.0,,,0.0,,,Positive,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,22.0,3.0,https://twitter.com/RuthClifford5/statuses/1335576328398106625,0.0,0.0,,0.0,0.0,0.0,3.0,22.0,False,False,False,False,True,Diagnostic Tools,1.0,0.0,0.0,"RT @crowley_maeve: Great session by ⁦@fniainle⁩,⁦@Erik_Klok_MD⁩ and ⁦@WeeShianChan⁩ regarding diagnostic and prognostic models in vte manag…",true
MDedgeHemOnc,MDedge Hematology & Oncology provides the most important and up to date information and news for oncologists. Now part of the Medscape Professional Network.,,"Rockville, MD, Parsippany, NJ",,2020-12-07 12:09:27+00:00,MDedge Hematology & Oncology,http://twitter.com/,1.0,,1.3359193487000945e+18,,0.0,0.0,,Overall mortality was 28% for the first 250 patients entered into the ASH Research Collaborative COVID-19 Registry… https://t.co/D6quLFs4bl,en,0.0,6726.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,1.0,https://twitter.com/MDedgeHemOnc/statuses/1335919348700094466,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,False,False,False,False,True,Collaboration,0.0,0.0,1.0,Overall mortality was 28% for the first 250 patients entered into the ASH Research Collaborative COVID-19 Registry… https://t.co/D6quLFs4bl,true
RitchaSaxena,"Hematopathologist, Professor | Insatiable reader & writer | Embracing and celebrating diversity, gratitude & compassion | Crazy about teaching, yoga & chocolate",,,,2020-12-06 23:52:51+00:00,"Ritcha Saxena, MD",http://twitter.com/,4.0,,1.3357339775634885e+18,,0.0,0.0,,RT @TaniaJain11: #ASH20 #Diversity #Equity #Inclusion This is where ASH and our work goes beyond Science ! congratulations to @BhavanaBhatn…,en,0.0,6875.0,,,0.0,,,Positive,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,3.0,1.0,https://twitter.com/RitchaSaxena/statuses/1335733977563488256,0.0,0.0,,0.0,0.0,0.0,1.0,3.0,False,False,False,False,True,Financial Performance,1.0,0.0,0.0,RT @TaniaJain11: #ASH20 #Diversity #Equity #Inclusion This is where ASH and our work goes beyond Science ! congratulations to @BhavanaBhatn…,true
Lisa_Palacios,Program Manager for MD Anderson Leukemia @leukemiamda | #HoustonStrong,,"Houston, Texas",,2020-12-07 17:54:24+00:00,Lisa Palacios,http://twitter.com/,11.0,,1.3360061563896422e+18,,0.0,0.0,,"RT @AML_Hub: Congress| #ASH20| @DanielleHammo20, @LeukemiaMDA, investigated response patterns and MRD in patients with IDH-mutated AML trea…",en,0.0,657.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,9.0,2.0,https://twitter.com/Lisa_Palacios/statuses/1336006156389642240,0.0,0.0,,0.0,0.0,0.0,2.0,9.0,False,False,False,False,True,Financial Performance,0.0,0.0,1.0,"RT @AML_Hub: Congress| #ASH20| @DanielleHammo20, @LeukemiaMDA, investigated response patterns and MRD in patients with IDH-mutated AML trea…",true
alshamsi2000,رئيس جمعية الإمارات للأورام President of the Emirates oncology Society - البورد 🇬🇧🇨🇦🇺🇸 ،مدير معهد برجيل للأورام Director of BCI - MD Anderson Alumni- 🇦🇪,,Abu Dhabi,,2020-12-05 12:10:29+00:00,🟢Dr.Humaid Al-Shamsi 🇦🇪,http://twitter.com/,30.0,,1.3351948327389143e+18,,0.0,0.0,,RT @COVID19nCCC: Severity of Sars-Cov-2 Infection in Pts w/ Hematologic Malignancies: A COVID-19 &amp; Cancer Consortium (#CCC19) Registry Anal…,en,0.0,11527.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,21.0,9.0,https://twitter.com/alshamsi2000/statuses/1335194832738914305,0.0,0.0,,0.0,0.0,0.0,9.0,21.0,False,False,False,False,True,Side Effects,0.0,0.0,1.0,RT @COVID19nCCC: Severity of Sars-Cov-2 Infection in Pts w/ Hematologic Malignancies: A COVID-19 &amp; Cancer Consortium (#CCC19) Registry Anal…,false
brave_is_now,Psychotherapist/Advocate surviving & thriving with CLL as third cancer #CLLStrong #braveisnow #formygirls #momwithcancer #greatfulfor2day contact@braveisnow.com,,"NYC-MA  ",,2020-12-16 15:58:11+00:00,Brave Is Now®,http://twitter.com/,2.0,,1.3392384003527762e+18,,0.0,0.0,,"RT @PatientPower: NEW FROM #ASH20: Leading #CLL experts, Dr. Allan (@WeillCornell), Dr. Barrientos (@NorthwellHealth) &amp; @wwierda (@Leukemia…",en,0.0,241.0,,,0.0,,,Neutral,,,,,,,,,SOCIALMEDIA_TWITTER,SOCIALMEDIA,,,,,,0.0,2.0,https://twitter.com/brave_is_now/statuses/1339238400352776195,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,False,False,False,False,True,Innovation,0.0,0.0,1.0,"RT @PatientPower: NEW FROM #ASH20: Leading #CLL experts, Dr. Allan (@WeillCornell), Dr. Barrientos (@NorthwellHealth) &amp; @wwierda (@Leukemia…",true
